Date Processed,Previous Close,Volume,Market Cap,PE Ratio (TTM),EPS (TTM),Financial Report Date,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Book Value,Book Value per Share,Price to Book Value Ratio,Asset to Liabilities
8/19/2020,216.24,"819,405",12.015B,28.17,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000,2321.311195,0.093154249,1.642213562
08/20/20,213.36,"1,310,917",11.566B,27.12,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,1450.9644775374795,0.1470470182441036,1.6422135622588865
08/21/20,205.40,"1,408,322",12.051B,28.25,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,1350.610158756307,0.15207941289967794,1.6422135622588865
08/24/20,214.00,"1,170,981",12.529B,29.38,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,1624.359404635942,0.13174424292385128,1.6422135622588865
08/25/20,222.50,"850,512",12.376B,29.02,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,2236.410538593224,0.09948978336507028,1.6422135622588865
08/26/20,219.78,"979,786",12.431B,29.15,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,1941.3361693267714,0.11321068626471667,1.6422135622588865
08/27/20,220.76,"1,542,219",12.611B,29.57,7.57,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,1233.3488304838677,0.17899234550973822,1.6422135622588865
08/28/20,223.95,"6,537,249",13.347B,47.84,4.95,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,290.96245224864464,0.769686941628542,1.6422135622588865
08/31/20,237.02,"1,249,641",13.077B,46.87,4.95,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,1522.1123506671115,0.1557178088044019,1.6422135622588865
09/01/20,232.18,"1,090,870",13.117B,47.01,4.95,1/31/2020,"4,863,872","2,961,778","1,902,094","1,902,094","1,902,094","1,938,347","1,887,833","918,056","1,902,094","1,887,833","1,938,347","57,285","56,609",676,1902094000.0,1743.6486474098656,0.1331575603519069,1.6422135622588865
